,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,12200,Cabela's Big Game Hunter 2005 Adventures,GC,2004.0,Sports,Activision,0.05,0.01,0.0,0.0,0.07
1,10814,Minority Report: Everybody Runs,XB,2002.0,Action,Activision,0.07,0.02,0.0,0.0,0.1
2,894,Mario Super Sluggers,Wii,2008.0,Sports,Nintendo,1.51,0.0,0.29,0.12,1.93
3,4808,Warriors Orochi 2 (JP sales),PS2,2008.0,Action,Tecmo Koei,0.0,0.0,0.4,0.0,0.4
4,13925,Don Bradman Cricket 14,XOne,2015.0,Sports,Tru Blu Entertainment,0.0,0.04,0.0,0.0,0.04
5,14890,The Peanuts Movie: Snoopy's Grand Adventure,X360,2015.0,Action,Activision,0.0,0.02,0.0,0.0,0.03
6,505,Colin McRae Rally,PS,1998.0,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87
7,11627,Ford vs. Chevy,XB,2005.0,Racing,Global Star,0.06,0.02,0.0,0.0,0.08
8,8397,The Naked Brothers Band: The Video Game,PS2,2008.0,Misc,THQ,0.08,0.06,0.0,0.02,0.17
9,2146,LEGO Star Wars II: The Original Trilogy,GC,2006.0,Action,LucasArts,0.75,0.19,0.0,0.03,0.97
10,9192,Bottom of the 9th,PS,1996.0,Sports,Konami Digital Entertainment,0.08,0.05,0.0,0.01,0.14
11,6758,Disney's A Christmas Carol,DS,2009.0,Adventure,Disney Interactive Studios,0.22,0.01,0.0,0.02,0.25
12,2502,Dragon Ball: Raging Blast 2,PS3,2010.0,Fighting,Namco Bandai Games,0.42,0.2,0.11,0.09,0.83
13,1848,Toy Story 3: The Video Game,PS3,2010.0,Action,Disney Interactive Studios,0.51,0.42,0.0,0.17,1.11
14,9727,Guardian's Crusade,PS,1998.0,Role-Playing,Activision,0.07,0.05,0.0,0.01,0.12
15,16343,Grooverider: Slot Car Thunder,GC,2003.0,Racing,Encore,0.01,0.0,0.0,0.0,0.01
16,4205,Spider-Man: Friend or Foe,DS,2007.0,Action,Activision,0.43,0.0,0.0,0.04,0.47
17,5702,Might & Magic Heroes VI,PC,2011.0,Role-Playing,Ubisoft,0.12,0.14,0.0,0.05,0.31
18,1240,Call of Duty 3,PS3,2006.0,Shooter,Activision,0.6,0.63,0.03,0.26,1.52
19,4451,Blood Omen: Legacy of Kain,PS,1996.0,Role-Playing,Crystal Dynamics,0.25,0.17,0.0,0.03,0.44
20,10266,One Piece: Burning Blood,PSV,2016.0,Fighting,Namco Bandai Games,0.0,0.03,0.07,0.01,0.11
21,16253,Strider (2014),PS3,2014.0,Platform,Capcom,0.0,0.0,0.01,0.0,0.01
22,3203,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012.0,Misc,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63
23,5035,Final Fantasy Adventure,GB,1991.0,Role-Playing,SquareSoft,0.0,0.0,0.38,0.0,0.38
24,10531,Kirarin * Revolution: Mezase! Idol Queen,DS,2007.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1
25,15832,Phoenix Wright: Ace Attorney Trilogy,3DS,2014.0,Adventure,Capcom,0.0,0.0,0.02,0.0,0.02
26,13699,Catwoman,GBA,2004.0,Action,Electronic Arts,0.03,0.01,0.0,0.0,0.04
27,14287,Ultimate Block Party,PSP,2004.0,Puzzle,505 Games,0.03,0.0,0.0,0.0,0.03
28,15471,Tycoon City: New York,PC,2006.0,Strategy,Atari,0.0,0.02,0.0,0.0,0.02
29,10112,Murakumo: Renegade Mech Pursuit,XB,2002.0,Shooter,From Software,0.04,0.01,0.06,0.0,0.11
30,6650,Cartoon Network Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.18,0.07,0.0,0.0,0.25
31,1332,Tony Hawk's American Wasteland (Weekly american sales),PS2,2005.0,Sports,Activision,1.38,0.05,0.0,0.02,1.45
32,8821,Kingdom of Paradise,PSP,2005.0,Role-Playing,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15
33,5634,Kirby's Block Ball,GB,1995.0,Puzzle,Nintendo,0.0,0.0,0.32,0.0,0.32
34,14647,Bleach DS 4th: Flame Bringer,DS,2009.0,Action,Sega,0.0,0.0,0.03,0.0,0.03
35,8373,Bomberman B-Daman,SNES,1996.0,Shooter,Hudson Soft,0.0,0.0,0.17,0.0,0.17
36,5896,Rayman 2: Revolution,PS2,2000.0,Platform,Ubisoft,0.15,0.11,0.0,0.04,0.3
37,15911,Adventure Time: The Secret of the Nameless,3DS,2014.0,Adventure,Little Orbit,0.01,0.0,0.0,0.0,0.02
38,2338,Pokemon Card GB2: Here Comes Team GR!,GB,2001.0,Strategy,Nintendo,0.0,0.0,0.89,0.0,0.89
39,13585,Naruto Shippuuden: Shinobi Retsuden III,DS,2009.0,Action,Takara Tomy,0.0,0.0,0.04,0.0,0.04
40,4616,Arc the Lad III,PS,1999.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.39,0.03,0.42
41,2511,Star Wars The Clone Wars: Republic Heroes,Wii,2009.0,Action,LucasArts,0.44,0.3,0.0,0.08,0.82
42,6322,The Adventures of Tintin: The Game,PS3,2011.0,Action,Ubisoft,0.06,0.16,0.0,0.05,0.27
43,11832,Pong / Asteroids / Yars' Revenge,GBA,2005.0,Misc,Zoo Digital Publishing,0.05,0.02,0.0,0.0,0.07
44,666,Madden NFL 08,X360,2007.0,Sports,Electronic Arts,2.18,0.01,0.0,0.18,2.37
45,11970,Rec Room Games,DS,2011.0,Sports,Destineer,0.07,0.0,0.0,0.0,0.07
46,14278,Super Hero Generation,PS3,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
47,10316,Hexen: Beyond Heretic,PS,1997.0,Shooter,GT Interactive,0.06,0.04,0.0,0.01,0.11
48,11509,Cabela's North American Adventures,PS2,2010.0,Sports,Activision,0.04,0.03,0.0,0.01,0.08
49,7818,Tales of the World: Narikiri Dungeon 2,GBA,2002.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19
50,4981,Triple Play 97,PS,1996.0,Sports,Electronic Arts Victor,0.21,0.15,0.0,0.03,0.38
51,4448,The Darkness,X360,2007.0,Shooter,Take-Two Interactive,0.36,0.04,0.01,0.04,0.44
52,16198,Legoland,PC,1999.0,Action,LEGO Media,0.0,0.01,0.0,0.0,0.01
53,6724,Ninja Gaiden 3,X360,2012.0,Action,Tecmo Koei,0.16,0.05,0.03,0.02,0.25
54,433,Rhythm Heaven,DS,2008.0,Misc,Nintendo,0.58,0.51,1.93,0.14,3.17
55,7503,Cabela's North American Adventures,Wii,2010.0,Sports,Activision,0.19,0.0,0.0,0.01,0.2
56,4073,Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,2001.0,Misc,Hudson Soft,0.0,0.0,0.49,0.0,0.49
57,5771,Star Wars Jedi Knight II: Jedi Outcast,XB,1234,Shooter,Activision,0.23,0.07,0.0,0.01,0.31
58,3052,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,2006.0,Misc,IE Institute,0.0,0.0,0.66,0.0,0.66
59,9523,Pop'n Music Portable,PSP,2010.0,Misc,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
60,1294,Chrono Trigger,DS,2008.0,Role-Playing,Square Enix,0.69,0.2,0.49,0.09,1.47
61,11303,The King of Fighters '98: Dream Match Never Ends,PS,1999.0,Fighting,SNK Playmore,0.05,0.03,0.0,0.01,0.08
62,4878,Suzuki TT Superbikes,PS2,2005.0,Racing,Jester Interactive,0.33,0.01,0.0,0.05,0.4
63,3519,Spyro Orange: The Cortex Conspiracy,GBA,2004.0,Action,Vivendi Games,0.41,0.15,0.0,0.01,0.57
64,11609,Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010.0,Shooter,Sega,0.06,0.01,0.0,0.01,0.08
65,2697,Mortal Kombat,PSV,2012.0,Fighting,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.12,0.76
66,9076,.hack//Link,PSP,2010.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14
67,2125,Madden NFL 16,X360,2015.0,Sports,Electronic Arts,0.82,0.05,0.0,0.1,0.98
68,2506,James Bond 007: Nightfire,XB,2002.0,Shooter,Electronic Arts,0.58,0.22,0.0,0.03,0.82
69,16023,Uppers,PSV,2016.0,Action,Marvelous Entertainment,0.0,0.0,0.01,0.0,0.01
70,7231,Age of Empires: Mythologies,DS,2008.0,Strategy,THQ,0.17,0.03,0.0,0.02,0.22
71,12212,Pandemonium 2,PS,1997.0,Platform,BMG Interactive Entertainment,0.04,0.02,0.0,0.0,0.07
72,8919,Major League Baseball 2K8,PS2,2008.0,Sports,Bethesda Softworks,0.07,0.06,0.0,0.02,0.15
73,2545,Valkyrie Profile,PS,1999.0,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81
74,5141,Dishonored,PS4,2015.0,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
75,1373,Madden NFL 15,PS3,2014.0,Sports,Electronic Arts,1.07,0.15,0.0,0.19,1.41
76,891,Tetris DX,GB,1998.0,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93
77,11510,Akiba's Trip Plus,PSP,2012.0,Adventure,Acquire,0.0,0.0,0.08,0.0,0.08
78,5885,Hard Hitter Tennis,PS2,2001.0,Sports,Midas Interactive Entertainment,0.15,0.11,0.0,0.04,0.3
79,12873,Front Mission Evolved,PC,2010.0,Shooter,Square Enix,0.05,0.0,0.0,0.0,0.05
80,14792,NHL 07,XB,2006.0,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03
81,2205,Castlevania: Lament of Innocence,PS2,2003.0,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94
82,9946,Makai Shin Trillion,PSV,2014.0,Role-Playing,Idea Factory,0.02,0.02,0.06,0.01,0.12
83,10635,Aquapazza: Aquaplus Dream Match,PS3,2012.0,Fighting,Aqua Plus,0.05,0.0,0.05,0.01,0.1
84,153,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
85,9264,Alone in the Dark: Inferno,PS3,2008.0,Adventure,Atari,0.09,0.03,0.0,0.02,0.14
86,11921,Monster Rancher Battle Card: Episode II,PS,2000.0,Action,Tecmo Koei,0.04,0.03,0.0,0.0,0.07
87,15356,Demolition Company: Gold Edition,PC,2011.0,Simulation,,0.0,0.02,0.0,0.0,0.02
88,10568,Cabela's Adventure Camp,X360,2011.0,Misc,Activision,0.07,0.02,0.0,0.01,0.1
89,705,Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28
90,1014,Dance Dance Revolution X,PS2,2008.0,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75
91,7935,Doctor Who: Return to Earth,Wii,2010.0,Adventure,Asylum Entertainment,0.0,0.16,0.0,0.02,0.19
92,4653,Jimmy Neutron: Boy Genius,GBA,2001.0,Platform,THQ,0.3,0.11,0.0,0.01,0.42
93,15322,Wakeboarding Unleashed Featuring Shaun Murray,GBA,2003.0,Sports,Aspyr,0.01,0.01,0.0,0.0,0.02
94,6788,Gallop Racer (JP),PS,1996.0,Sports,Tecmo Koei,0.04,0.03,0.16,0.02,0.24
95,4966,Hooked! Again: Real Motion Fishing,Wii,2009.0,Sports,505 Games,0.36,0.0,0.0,0.03,0.39
96,2912,NCAA Football 08,X360,2007.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7
97,3779,Jampack Vol. 2,PS,1996.0,Misc,Sony Computer Entertainment,0.3,0.2,0.0,0.03,0.53
98,3385,Hot Wheels: Stunt Track Challenge,PS2,2004.0,Racing,THQ,0.29,0.23,0.0,0.08,0.59
99,7161,Time Crisis: Crisis Zone,PS2,2004.0,Shooter,Namco Bandai Games,0.11,0.09,0.0,0.03,0.22
100,630,Final Fantasy V,SNES,1992.0,Role-Playing,SquareSoft,0.0,0.0,2.43,0.02,2.45
101,5653,Tetris 2 + Bombliss,NES,1991.0,Puzzle,BPS,0.0,0.0,0.32,0.0,0.32
102,11661,"Ni Hao, Kai-lan: Super Game Day",PS2,2009.0,Misc,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08
103,5515,Disgaea 2: Cursed Memories,PS2,2006.0,Role-Playing,Tecmo Koei,0.09,0.07,0.15,0.02,0.33
104,7009,Sword Art Online: Lost Song,PS4,2015.0,Role-Playing,Namco Bandai Games,0.09,0.1,0.0,0.04,0.23
105,5661,Riven: The Sequel to Myst,PS,1997.0,Adventure,Acclaim Entertainment,0.18,0.12,0.0,0.02,0.32
106,1118,Tom Clancy's Rainbow Six,PS,1999.0,Shooter,Red Storm Entertainment,0.93,0.63,0.0,0.08,1.64
107,7605,Speed Punks,PS,1998.0,Racing,Sony Computer Entertainment,0.11,0.08,0.0,0.01,0.2
108,699,Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28
109,14345,Dodge Racing: Charger vs Challenger,DS,2009.0,Racing,Zushi Games,0.03,0.0,0.0,0.0,0.03
110,2613,Star Ocean: The Last Hope,X360,2009.0,Role-Playing,Square Enix,0.32,0.2,0.21,0.06,0.79
111,7167,Skies of Arcadia Legends,GC,2002.0,Role-Playing,Atari,0.17,0.04,0.0,0.01,0.22
112,15766,Divinity: Original Sin,PC,2014.0,Role-Playing,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02
113,7641,Schlag den Raab,Wii,2010.0,Misc,Namco Bandai Games,0.0,0.17,0.0,0.03,0.2
114,15896,Hiiro no Kakera Portable,PSP,2008.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
115,3685,American Idol,PS2,2003.0,Misc,Codemasters,0.27,0.21,0.0,0.07,0.55
116,3387,London 2012: The Official Video Game of the Olympic Games,X360,2012.0,Sports,Sega,0.07,0.46,0.0,0.07,0.59
117,3253,Pro Evolution Soccer 2015,PS3,2014.0,Sports,Konami Digital Entertainment,0.1,0.23,0.22,0.08,0.62
118,1064,Dragon Age: Origins,PS3,2009.0,Role-Playing,Electronic Arts,0.96,0.44,0.08,0.22,1.69
119,16014,Tom Clancy's  Ghost Recon Advanced Warfighter (weekly JP sales),X360,2006.0,Shooter,Ubisoft,0.0,0.0,0.01,0.0,0.01
120,1819,Moon Patrol,2600,1982.0,Shooter,Atari,1.05,0.06,0.0,0.01,1.12
121,5818,RPG Tsukuru 2,SNES,1996.0,Role-Playing,ASCII Entertainment,0.0,0.0,0.31,0.0,0.31
122,14031,True Pinball,PS,1996.0,Misc,Ocean,0.02,0.01,0.0,0.0,0.04
123,5340,Street Fighter Alpha: Warriors' Dreams,SAT,1996.0,Fighting,Capcom,0.0,0.0,0.35,0.0,0.35
124,14570,Oumagatoki: Kaidan Romance,PSP,2012.0,Action,Quinrose,0.0,0.0,0.03,0.0,0.03
125,2043,Bayonetta 2,WiiU,2014.0,Action,Nintendo,0.34,0.28,0.1,0.3,1.01
126,9492,Rally Fusion: Race of Champions,PS2,2002.0,Racing,Activision,0.06,0.05,0.0,0.02,0.13
127,12209,Karaoke Revolution Party,XB,2005.0,Misc,Konami Digital Entertainment,0.05,0.01,0.0,0.0,0.07
128,15091,RayCrisis: Series Termination,PS,1999.0,Shooter,JVC,0.01,0.01,0.0,0.0,0.02
129,3008,100 Classic Books,DS,2008.0,Misc,Nintendo,0.13,0.52,0.0,0.02,0.67
130,10029,Every Extend Extra,PSP,2006.0,Shooter,Disney Interactive Studios,0.1,0.01,0.0,0.01,0.11
131,8676,Arcade Zone,Wii,2009.0,Misc,Activision,0.14,0.0,0.0,0.01,0.16
132,10432,Derby Stallion P,PSP,2006.0,Sports,Enterbrain,0.0,0.0,0.1,0.0,0.1
133,16182,Sega Golf Club: Miyazato San Kyoudai Naizou,PS3,2006.0,Sports,Sega,0.0,0.0,0.01,0.0,0.01
134,4061,One Piece: Grand Battle!,PS,2001.0,Fighting,Atari,0.0,0.0,0.46,0.03,0.49
135,6168,Hannah Montana: Spotlight World Tour,PS2,2008.0,Action,Disney Interactive Studios,0.12,0.02,0.0,0.14,0.28
136,7899,Phantasy Star Universe,PS2,2006.0,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19
137,15931,Nurarihyon no Mago: Hyakki Ryouran Taisen,PS3,2011.0,Fighting,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
138,16465,Outdoors Unleashed: Alaska 3D,3DS,2011.0,Sports,Mastiff,0.01,0.0,0.0,0.0,0.01
139,12470,Grey's Anatomy: The Video Game,Wii,2009.0,Adventure,Ubisoft,0.05,0.01,0.0,0.0,0.06
140,10472,Who Wants to Be a Millionaire: 3rd Edition,Wii,2010.0,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1
141,16574,Grisaia no Kajitsu: La Fruit de la Grisaia,PSP,2013.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
142,13018,TNA iMPACT: Cross the Line,PSP,2010.0,Fighting,SouthPeak Games,0.05,0.0,0.0,0.0,0.05
143,14941,Stake: Fortune Fighters,XB,2003.0,Fighting,Metro 3D,0.02,0.01,0.0,0.0,0.02
144,9650,Power Pro Kun Pocket 13,DS,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
145,14190,Crimson Tears,PS2,2004.0,Role-Playing,Capcom,0.02,0.01,0.0,0.0,0.03
146,9261,Marvel vs. Capcom 2: New Age of Heroes,XB,2002.0,Fighting,Capcom,0.09,0.03,0.01,0.0,0.14
147,2211,SaGa Frontier 2,PS,1999.0,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94
148,4911,Dancing with the Stars: We Dance!,DS,2008.0,Misc,Activision,0.36,0.0,0.0,0.03,0.39
149,10596,Blue Dragon: Awakened Shadow,DS,2009.0,Role-Playing,Namco Bandai Games,0.06,0.0,0.03,0.0,0.1
150,2365,NBA 2K6,PS2,2005.0,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88
151,9303,Kororinpa: Marble Mania,Wii,2006.0,Puzzle,Nintendo,0.08,0.02,0.03,0.01,0.14
152,12657,The Saboteur,PC,2009.0,Action,Electronic Arts,0.0,0.05,0.0,0.01,0.06
153,16355,Juiced 2: Hot Import Nights,PC,2007.0,Racing,THQ,0.0,0.01,0.0,0.0,0.01
154,13955,Warriors Orochi 3,XOne,2014.0,Action,Tecmo Koei,0.01,0.03,0.0,0.0,0.04
155,7108,Valhalla Knights 2,PSP,2008.0,Role-Playing,Rising Star Games,0.09,0.0,0.12,0.01,0.23
156,6022,FIFA Soccer 13,3DS,2012.0,Action,Electronic Arts,0.06,0.2,0.0,0.03,0.29
157,11102,Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010.0,Misc,Hudson Soft,0.0,0.0,0.09,0.0,0.09
158,12292,XGRA: Extreme G Racing Association,PS2,2003.0,Racing,Acclaim Entertainment,0.03,0.02,0.0,0.01,0.06
159,2795,The Sims 2: Castaway,DS,2007.0,Simulation,Electronic Arts,0.63,0.05,0.0,0.06,0.73
160,13209,Super Bust-A-Move,GBA,2001.0,Puzzle,Ubisoft,0.03,0.01,0.0,0.0,0.05
161,451,Dragon Ball Z: Budokai,PS2,2002.0,Fighting,Atari,2.17,0.28,0.55,0.08,3.09
162,5248,Frogs And Flies,2600,1981.0,Action,Mattel Interactive,0.33,0.02,0.0,0.0,0.36
163,9538,Namco Soccer Prime Goal,PS,1995.0,Sports,Sony Computer Entertainment,0.0,0.0,0.12,0.01,0.13
164,1266,Rock Band 2,PS3,2008.0,Misc,MTV Games,1.13,0.2,0.0,0.16,1.5
165,7856,Sudeki,XB,2004.0,Role-Playing,Microsoft Game Studios,0.14,0.04,0.0,0.01,0.19
166,11133,Ikaruga,GC,2003.0,Shooter,Atari,0.07,0.02,0.0,0.0,0.09
167,2160,Star Soldier,NES,1986.0,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
168,7446,NCAA Football 2003,GC,2002.0,Sports,Electronic Arts,0.16,0.04,0.0,0.01,0.21
169,1045,Deal or No Deal,DS,2007.0,Misc,Mindscape,1.15,0.41,0.0,0.15,1.71
170,3661,Barbie Horse Adventures: Riding Camp,DS,2008.0,Sports,Activision,0.51,0.0,0.0,0.04,0.55
171,7090,pro evolution soccer 2011,Wii,2010.0,Sports,Konami Digital Entertainment,0.08,0.1,0.03,0.02,0.23
172,13903,Tokumei Sentai Go-Busters,DS,2012.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
173,9142,Gretzky NHL 06,PS2,2005.0,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14
174,7983,La Pucelle: Tactics,PS2,2002.0,Role-Playing,Tecmo Koei,0.09,0.07,0.0,0.02,0.19
175,4580,Medal of Honor: Rising Sun,GC,2003.0,Shooter,Electronic Arts,0.33,0.09,0.0,0.01,0.42
176,14795,AMNESIA World,PSV,2014.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
177,10285,Digimon Story: Cyber Sleuth,PS4,2016.0,Role-Playing,Namco Bandai Games,0.0,0.09,0.0,0.02,0.11
178,16148,Mystery Legends: Beauty and the Beast,PC,2012.0,Puzzle,Focus Multimedia,0.0,0.01,0.0,0.0,0.01
179,6643,A. IV Evolution: A Ressha de Ikou 4,PS,1994.0,Strategy,ArtDink,0.0,0.0,0.24,0.02,0.25
180,2097,Scooby-Doo! First Frights,Wii,2009.0,Action,Warner Bros. Interactive Entertainment,0.88,0.05,0.0,0.07,0.99
181,6173,Remington Super Slam Hunting: Africa,Wii,2010.0,Sports,Mastiff,0.27,0.0,0.0,0.02,0.28
